theta	phi	psi	alpha	beta	CA	CN	CY	Cl	Cn	Cm
29.95592500     -13.91893000    0.00000000      29.22275632     -6.89868679     0.00836119      0.98401879      0.14455810      -0.01609746     -0.00944828     0.07648824     
29.95592500     -13.91024000    0.00000000      29.22367362     -6.89444422     0.00836392      0.98396373      0.14456480      -0.01609567     -0.00944892     0.07648299     
29.95592500     -13.90153500    0.00000000      29.22459193     -6.89019420     0.00836721      0.98390846      0.14457108      -0.01609350     -0.00944953     0.07647757     
29.95592500     -13.89285500    0.00000000      29.22550702     -6.88595627     0.00837109      0.98385297      0.14457694      -0.01609094     -0.00945011     0.07647204     
29.95592500     -13.88415000    0.00000000      29.22642416     -6.88170601     0.00837556      0.98379732      0.14458243      -0.01608799     -0.00945066     0.07646632     
29.95592500     -13.87546500    0.00000000      29.22733862     -6.87746539     0.00838061      0.98374146      0.14458747      -0.01608465     -0.00945117     0.07646046     
29.95592500     -13.86677000    0.00000000      29.22825356     -6.87321977     0.00838623      0.98368544      0.14459209      -0.01608093     -0.00945164     0.07645449     
29.95592500     -13.85807000    0.00000000      29.22916844     -6.86897158     0.00839240      0.98362927      0.14459629      -0.01607683     -0.00945208     0.07644836     
29.95596000     -13.84938500    0.00000000      29.23011564     -6.86473791     0.00839918      0.98357300      0.14460004      -0.01607234     -0.00945248     0.07644211     
29.95596000     -13.83975000    0.00000000      29.23112753     -6.86003289     0.00840651      0.98351664      0.14460337      -0.01606746     -0.00945285     0.07643575     
29.95791000     -13.83013000    0.00000000      29.23405798     -6.85574182     0.00841444      0.98346012      0.14460626      -0.01606220     -0.00945317     0.07642927     
29.95791000     -13.81672500    0.00000000      29.23546369     -6.84919496     0.00842296      0.98340350      0.14460871      -0.01605655     -0.00945346     0.07642266     
29.95791000     -13.80759500    0.00000000      29.23642032     -6.84473580     0.00843202      0.98334697      0.14461069      -0.01605053     -0.00945371     0.07641599     
29.95791000     -13.79846500    0.00000000      29.23737631     -6.84027651     0.00844168      0.98329029      0.14461223      -0.01604412     -0.00945392     0.07640918     
29.95791000     -13.78933000    0.00000000      29.23833219     -6.83581465     0.00845190      0.98323357      0.14461331      -0.01603733     -0.00945408     0.07640227     
29.95791000     -13.78019500    0.00000000      29.23928743     -6.83135265     0.00846272      0.98317694      0.14461394      -0.01603017     -0.00945421     0.07639532     
29.95791000     -13.77107000    0.00000000      29.24024098     -6.82689540     0.00847409      0.98312027      0.14461410      -0.01602263     -0.00945429     0.07638825     
29.95791000     -13.76192500    0.00000000      29.24119599     -6.82242825     0.00848605      0.98306363      0.14461378      -0.01601470     -0.00945434     0.07638112     
29.95791000     -13.75280000    0.00000000      29.24214826     -6.81797074     0.00849858      0.98300701      0.14461301      -0.01600640     -0.00945433     0.07637392     
29.95791000     -13.74366500    0.00000000      29.24310095     -6.81350821     0.00851166      0.98295048      0.14461174      -0.01599773     -0.00945429     0.07636666     
29.95791000     -13.73454000    0.00000000      29.24405195     -6.80905044     0.00852534      0.98289404      0.14461001      -0.01598869     -0.00945420     0.07635935     
29.95791000     -13.72540500    0.00000000      29.24500336     -6.80458764     0.00853960      0.98283769      0.14460778      -0.01597927     -0.00945407     0.07635199     
29.95791000     -13.71624000    0.00000000      29.24595725     -6.80011006     0.00855436      0.98278142      0.14460506      -0.01596949     -0.00945389     0.07634452     
29.96112500     -13.70712500    0.00000000      29.25007309     -6.79632147     0.00856977      0.98272535      0.14460187      -0.01595934     -0.00945367     0.07633707     
29.96109500     -13.69070500    0.00000000      29.25174989     -6.78829188     0.00858571      0.98266932      0.14459814      -0.01594882     -0.00945340     0.07632958     
29.96109500     -13.66681500    0.00000000      29.25422883     -6.77661763     0.00860221      0.98261355      0.14459394      -0.01593794     -0.00945309     0.07632206     
29.96109500     -13.64287500    0.00000000      29.25670858     -6.76491805     0.00861925      0.98255787      0.14458923      -0.01592670     -0.00945272     0.07631451     
29.96109500     -13.61893500    0.00000000      29.25918394     -6.75321756     0.00863687      0.98250245      0.14458403      -0.01591509     -0.00945231     0.07630696     
29.96109500     -13.59499000    0.00000000      29.26165544     -6.74151372     0.00865507      0.98244724      0.14457832      -0.01590314     -0.00945186     0.07629936     
29.96109500     -13.57102500    0.00000000      29.26412461     -6.72979921     0.00867382      0.98239224      0.14457211      -0.01589082     -0.00945135     0.07629181     
29.96109500     -13.54701500    0.00000000      29.26659400     -6.71806180     0.00869311      0.98233751      0.14456535      -0.01587815     -0.00945079     0.07628421     
29.96109500     -13.51103000    0.00000000      29.27028676     -6.70046866     0.00871296      0.98228292      0.14455809      -0.01586513     -0.00945019     0.07627663     
29.96109500     -13.48712500    0.00000000      29.27273440     -6.68878034     0.00873335      0.98222872      0.14455032      -0.01585176     -0.00944953     0.07626905     
29.96109500     -13.46318500    0.00000000      29.27518124     -6.67707401     0.00875430      0.98217479      0.14454201      -0.01583805     -0.00944882     0.07626152     
29.96109500     -13.43923500    0.00000000      29.27762471     -6.66536191     0.00877580      0.98212112      0.14453318      -0.01582399     -0.00944806     0.07625400     
29.96109500     -13.41530500    0.00000000      29.28006177     -6.65365869     0.00879782      0.98206778      0.14452384      -0.01580959     -0.00944725     0.07624652     
29.96109500     -13.39132500    0.00000000      29.28249952     -6.64193013     0.00882043      0.98201477      0.14451393      -0.01579486     -0.00944639     0.07623907     
29.96109500     -13.36741000    0.00000000      29.28492629     -6.63023248     0.00884352      0.98196215      0.14450351      -0.01577979     -0.00944547     0.07623163     
29.96109500     -13.34345000    0.00000000      29.28735323     -6.61851193     0.00886719      0.98190979      0.14449256      -0.01576439     -0.00944450     0.07622426     
29.95893000     -13.31950000    0.00000000      29.28763975     -6.60636038     0.00889134      0.98185788      0.14448105      -0.01574866     -0.00944348     0.07621693     
29.95679500     -13.29494500    0.00000000      29.28801226     -6.59391954     0.00891606      0.98180636      0.14446905      -0.01573260     -0.00944241     0.07620968     
29.95679500     -13.27008000    0.00000000      29.29051678     -6.58175511     0.00894130      0.98175516      0.14445647      -0.01571622     -0.00944128     0.07620247     
29.95679500     -13.24516500    0.00000000      29.29302160     -6.56956526     0.00896705      0.98170447      0.14444333      -0.01569952     -0.00944009     0.07619533     
29.95679500     -13.22029000    0.00000000      29.29551766     -6.55739404     0.00899331      0.98165411      0.14442969      -0.01568251     -0.00943885     0.07618824     
29.95679500     -13.19525500    0.00000000      29.29802500     -6.54514358     0.00902013      0.98160431      0.14441547      -0.01566518     -0.00943756     0.07618125     
29.95679500     -13.17032500    0.00000000      29.30051707     -6.53294356     0.00904741      0.98155490      0.14440071      -0.01564754     -0.00943621     0.07617437     
29.95679500     -13.14547500    0.00000000      29.30299641     -6.52078174     0.00907521      0.98150594      0.14438542      -0.01562960     -0.00943480     0.07616752     
29.95679500     -13.12055500    0.00000000      29.30547799     -6.50858472     0.00910355      0.98145748      0.14436955      -0.01561135     -0.00943333     0.07616078     
29.95679500     -13.09566500    0.00000000      29.30795185     -6.49640145     0.00913238      0.98140953      0.14435311      -0.01559281     -0.00943181     0.07615416     
29.95679500     -13.07079000    0.00000000      29.31041948     -6.48422458     0.00916166      0.98136203      0.14433617      -0.01557396     -0.00943023     0.07614762     
29.95679500     -13.04585500    0.00000000      29.31288833     -6.47201741     0.00919148      0.98131509      0.14431862      -0.01555482     -0.00942859     0.07614117     
29.95679500     -13.02092500    0.00000000      29.31535192     -6.45981174     0.00922179      0.98126866      0.14430054      -0.01553540     -0.00942690     0.07613483     
29.95679500     -12.98378500    0.00000000      29.31901331     -6.44162637     0.00925259      0.98122285      0.14428192      -0.01551569     -0.00942514     0.07612863     
29.95679500     -12.95883000    0.00000000      29.32146754     -6.42940614     0.00928383      0.98117749      0.14426273      -0.01549570     -0.00942333     0.07612254     
29.96091000     -12.93391500    0.00000000      29.32797443     -6.41800759     0.00931556      0.98113269      0.14424295      -0.01547544     -0.00942146     0.07611656     
29.96091000     -12.91146000    0.00000000      29.33017464     -6.40700857     0.00934779      0.98108852      0.14422264      -0.01545490     -0.00941953     0.07611072     
29.96091000     -12.88900000    0.00000000      29.33237148     -6.39600635     0.00938048      0.98104492      0.14420177      -0.01543409     -0.00941753     0.07610501     
29.96091000     -12.86651500    0.00000000      29.33456691     -6.38499113     0.00941364      0.98100194      0.14418031      -0.01541302     -0.00941548     0.07609943     
29.96091000     -12.84404500    0.00000000      29.33675702     -6.37398251     0.00944726      0.98095952      0.14415831      -0.01539168     -0.00941337     0.07609396     
29.96091000     -12.82158500    0.00000000      29.33894230     -6.36297805     0.00948131      0.98091773      0.14413578      -0.01537009     -0.00941120     0.07608865     
29.96091000     -12.79911000    0.00000000      29.34112517     -6.35196548     0.00951586      0.98087662      0.14411265      -0.01534825     -0.00940897     0.07608351     
